Season,Club/Country,Award,Player
13/14,Juventus FC,Italian Super Cup winner,Paul Pogba
12/13,Juventus FC,Italian Super Cup winner,Paul Pogba
17,Manchester United,English League Cup winner,Paul Pogba
10,Manchester United,English League Cup winner,Paul Pogba
13,France U20,Under-20 World Cup champion,Paul Pogba
15/16,Chile,Copa América winner,Alexis Sánchez
14/15,Chile,Copa América winner,Alexis Sánchez
12,FC Barcelona,FIFA Club World Cup winner,Alexis Sánchez
12/13,FC Barcelona,Spanish champion,Alexis Sánchez
20/21,Inter Milan,Italian champion,Alexis Sánchez
11/12,FC Barcelona,Uefa Supercup winner,Alexis Sánchez
17,Arsenal FC,English FA Cup winner,Alexis Sánchez
15,Arsenal FC,English FA Cup winner,Alexis Sánchez
21/22,Inter Milan,Italian cup winner,Alexis Sánchez
11/12,FC Barcelona,Spanish cup winner,Alexis Sánchez
13/14,FC Barcelona,Spanish Super Cup winner,Alexis Sánchez
12/13,FC Barcelona,Spanish Super Cup winner,Alexis Sánchez
11/12,FC Barcelona,Spanish Super Cup winner,Alexis Sánchez
10/11,FC Barcelona,Spanish Super Cup winner,Alexis Sánchez
21/22,Inter Milan,Italian Super Cup winner,Alexis Sánchez
15,Arsenal FC,English Super Cup winner,Alexis Sánchez
08,CA River Plate,Argentinian champion,Alexis Sánchez
16,Chile,Footballer of the Year,Arturo Vidal
12/13,Juventus FC,Player of the Year,Arturo Vidal
15/16,Chile,Copa América winner,Arturo Vidal
14/15,Chile,Copa América winner,Arturo Vidal
17/18,Bayern Munich,German Champion,Arturo Vidal
16/17,Bayern Munich,German Champion,Arturo Vidal
15/16,Bayern Munich,German Champion,Arturo Vidal
20/21,Inter Milan,Italian champion,Arturo Vidal
14/15,Juventus FC,Italian champion,Arturo Vidal
13/14,Juventus FC,Italian champion,Arturo Vidal
12/13,Juventus FC,Italian champion,Arturo Vidal
11/12,Juventus FC,Italian champion,Arturo Vidal
18/19,FC Barcelona,Spanish champion,Arturo Vidal
15/16,Bayern Munich,German cup winner,Arturo Vidal
21/22,Inter Milan,Italian cup winner,Arturo Vidal
14/15,Juventus FC,Italian cup winner,Arturo Vidal
21/22,Inter Milan,Italian Super Cup winner,Arturo Vidal
13/14,Juventus FC,Italian Super Cup winner,Arturo Vidal
12/13,Juventus FC,Italian Super Cup winner,Arturo Vidal
17/18,Bayern Munich,German Super Cup winner,Arturo Vidal
16/17,Bayern Munich,German Super Cup winner,Arturo Vidal
18/19,FC Barcelona,Spanish Super Cup winner,Arturo Vidal
22,CR Flamengo,Brazilian cup winner,Arturo Vidal
21/22,CR Flamengo,Copa Libertadores winner,Arturo Vidal
21,England,Footballer of the Year,Kevin De Bruyne
20,England,Footballer of the Year,Kevin De Bruyne
15,Germany,Footballer of the Year,Kevin De Bruyne
22,,TM-Player of the season,Kevin De Bruyne
20,England,TM-Player of the season,Kevin De Bruyne
21/22,Manchester City,Player of the Year,Kevin De Bruyne
19/20,Manchester City,Player of the Year,Kevin De Bruyne
15/16,League Cup- 5 Goals,Top goal scorer,Kevin De Bruyne
22/23,Manchester City,Champions League winner,Kevin De Bruyne
22/23,Manchester City,English Champion,Kevin De Bruyne
21/22,Manchester City,English Champion,Kevin De Bruyne
20/21,Manchester City,English Champion,Kevin De Bruyne
18/19,Manchester City,English Champion,Kevin De Bruyne
17/18,Manchester City,English Champion,Kevin De Bruyne
22/23,Manchester City,Uefa Supercup winner,Kevin De Bruyne
23,Manchester City,English FA Cup winner,Kevin De Bruyne
19,Manchester City,English FA Cup winner,Kevin De Bruyne
14/15,VfL Wolfsburg,German cup winner,Kevin De Bruyne
21,Manchester City,English League Cup winner,Kevin De Bruyne
20,Manchester City,English League Cup winner,Kevin De Bruyne
19,Manchester City,English League Cup winner,Kevin De Bruyne
18,Manchester City,English League Cup winner,Kevin De Bruyne
16,Manchester City,English League Cup winner,Kevin De Bruyne
15/16,VfL Wolfsburg,German Super Cup winner,Kevin De Bruyne
20,Manchester City,English Super Cup winner,Kevin De Bruyne
19,Manchester City,English Super Cup winner,Kevin De Bruyne
10/11,KRC Genk,Belgian champion,Kevin De Bruyne
09,KRC Genk,Belgian cup winner,Kevin De Bruyne
11/12,KRC Genk,Belgian Super Cup Winner,Kevin De Bruyne
15,Croatia,Footballer of the Year,Ivan Rakitić
14/15,FC Barcelona,Champions League winner,Ivan Rakitić
16,FC Barcelona,FIFA Club World Cup winner,Ivan Rakitić
18/19,FC Barcelona,Spanish champion,Ivan Rakitić
17/18,FC Barcelona,Spanish champion,Ivan Rakitić
15/16,FC Barcelona,Spanish champion,Ivan Rakitić
14/15,FC Barcelona,Spanish champion,Ivan Rakitić
15/16,FC Barcelona,Uefa Supercup winner,Ivan Rakitić
22/23,Sevilla FC,Europa League winner,Ivan Rakitić
13/14,Sevilla FC,Europa League winner,Ivan Rakitić
10/11,FC Schalke 04,German cup winner,Ivan Rakitić
17/18,FC Barcelona,Spanish cup winner,Ivan Rakitić
16/17,FC Barcelona,Spanish cup winner,Ivan Rakitić
15/16,FC Barcelona,Spanish cup winner,Ivan Rakitić
14/15,FC Barcelona,Spanish cup winner,Ivan Rakitić
18/19,FC Barcelona,Spanish Super Cup winner,Ivan Rakitić
16/17,FC Barcelona,Spanish Super Cup winner,Ivan Rakitić
16,France,Footballer of the Year,Antoine Griezmann
15/16,EURO 2016- 6 Goals,Top goal scorer,Antoine Griezmann
15/16,Atlético de Madrid,Player of the Year,Antoine Griezmann
18,France,World Cup winner,Antoine Griezmann
18/19,Atlético de Madrid,Uefa Supercup winner,Antoine Griezmann
17/18,Atlético de Madrid,Europa League winner,Antoine Griezmann
21,France,Winner UEFA Nations League,Antoine Griezmann
20/21,FC Barcelona,Spanish cup winner,Antoine Griezmann
14/15,Atlético de Madrid,Spanish Super Cup winner,Antoine Griezmann
10,France U19,European Under-19 champion,Antoine Griezmann
09/10,Real Sociedad,Spanish 2nd tier champion,Antoine Griezmann
16,,African Footballer of the Year,Riyad Mahrez
16,Algeria,Footballer of the Year,Riyad Mahrez
15,Algeria,Footballer of the Year,Riyad Mahrez
21/22,FA Cup- 4 Goals,Top goal scorer,Riyad Mahrez
15/16,Premier League,Player of the Year,Riyad Mahrez
19,Algeria,Africa Cup winner,Riyad Mahrez
22/23,Manchester City,Champions League winner,Riyad Mahrez
22/23,Manchester City,English Champion,Riyad Mahrez
21/22,Manchester City,English Champion,Riyad Mahrez
20/21,Manchester City,English Champion,Riyad Mahrez
18/19,Manchester City,English Champion,Riyad Mahrez
15/16,Leicester City,English Champion,Riyad Mahrez
23,Manchester City,English FA Cup winner,Riyad Mahrez
19,Manchester City,English FA Cup winner,Riyad Mahrez
21,Manchester City,English League Cup winner,Riyad Mahrez
20,Manchester City,English League Cup winner,Riyad Mahrez
19,Manchester City,English League Cup winner,Riyad Mahrez
20,Manchester City,English Super Cup winner,Riyad Mahrez
19,Manchester City,English Super Cup winner,Riyad Mahrez
13/14,Leicester City,English 2nd tier champion,Riyad Mahrez
16,England,Footballer of the Year,Jamie Vardy
19/20,Premier League- 23 Goals,Top goal scorer,Jamie Vardy
11/12,Conference Premier- 31 Goals,Top goal scorer,Jamie Vardy
15/16,Premier League,Player of the Year,Jamie Vardy
15/16,Leicester City,English Champion,Jamie Vardy
21,Leicester City,English FA Cup winner,Jamie Vardy
22,Leicester City,English Super Cup winner,Jamie Vardy
13/14,Leicester City,English 2nd tier champion,Jamie Vardy
14,Portugal,Footballer of the Year,Pepe
16,Portugal,European champion,Pepe
16/17,Real Madrid,Champions League winner,Pepe
15/16,Real Madrid,Champions League winner,Pepe
13/14,Real Madrid,Champions League winner,Pepe
16,Real Madrid,FIFA Club World Cup winner,Pepe
15,Real Madrid,FIFA Club World Cup winner,Pepe
14,Real Madrid,FIFA Club World Cup winner,Pepe
16/17,Real Madrid,Spanish champion,Pepe
11/12,Real Madrid,Spanish champion,Pepe
07/08,Real Madrid,Spanish champion,Pepe
15/16,Real Madrid,Uefa Supercup winner,Pepe
13/14,Real Madrid,Uefa Supercup winner,Pepe
19,Portugal,Winner UEFA Nations League,Pepe
13/14,Real Madrid,Spanish cup winner,Pepe
10/11,Real Madrid,Spanish cup winner,Pepe
12/13,Real Madrid,Spanish Super Cup winner,Pepe
08/09,Real Madrid,Spanish Super Cup winner,Pepe
07/08,Real Madrid,Spanish Super Cup winner,Pepe
21/22,FC Porto,Portuguese champion,Pepe
19/20,FC Porto,Portuguese champion,Pepe
23,FC Porto,Portuguese cup winner,Pepe
22,FC Porto,Portuguese cup winner,Pepe
20,FC Porto,Portuguese cup winner,Pepe
22/23,FC Porto,Portuguese league cup winner,Pepe
23,FC Porto,Portuguese Super Cup winner,Pepe
21,FC Porto,Portuguese Super Cup winner,Pepe
15,Gabon,African Footballer of the Year,Pierre-Emerick Aubameyang
18/19,Premier League- 22 Goals,Top goal scorer,Pierre-Emerick Aubameyang
16/17,Bundesliga- 31 Goals,Top goal scorer,Pierre-Emerick Aubameyang
22/23,FC Barcelona,Spanish champion,Pierre-Emerick Aubameyang
20,Arsenal FC,English FA Cup winner,Pierre-Emerick Aubameyang
16/17,Borussia Dortmund,German cup winner,Pierre-Emerick Aubameyang
14/15,Borussia Dortmund,German Super Cup winner,Pierre-Emerick Aubameyang
13/14,Borussia Dortmund,German Super Cup winner,Pierre-Emerick Aubameyang
21,Arsenal FC,English Super Cup winner,Pierre-Emerick Aubameyang
12/13,AS Saint-Étienne,French league cup winner,Pierre-Emerick Aubameyang
18,Real Madrid,The Best FIFA Men's Player,Luka Modrić
18,Croatia,Winner Ballon d'Or,Luka Modrić
18,Real Madrid,UEFA Best Player in Europe,Luka Modrić
16/17,Croatia,Player of the Year,Luka Modrić
13/14,Croatia,Player of the Year,Luka Modrić
10/11,Croatia,Player of the Year,Luka Modrić
07/08,Croatia,Player of the Year,Luka Modrić
21/22,Real Madrid,Champions League winner,Luka Modrić
17/18,Real Madrid,Champions League winner,Luka Modrić
16/17,Real Madrid,Champions League winner,Luka Modrić
15/16,Real Madrid,Champions League winner,Luka Modrić
13/14,Real Madrid,Champions League winner,Luka Modrić
23,Real Madrid,FIFA Club World Cup winner,Luka Modrić
18,Real Madrid,FIFA Club World Cup winner,Luka Modrić
17,Real Madrid,FIFA Club World Cup winner,Luka Modrić
16,Real Madrid,FIFA Club World Cup winner,Luka Modrić
14,Real Madrid,FIFA Club World Cup winner,Luka Modrić
21/22,Real Madrid,Spanish champion,Luka Modrić
19/20,Real Madrid,Spanish champion,Luka Modrić
16/17,Real Madrid,Spanish champion,Luka Modrić
22/23,Real Madrid,Uefa Supercup winner,Luka Modrić
17/18,Real Madrid,Uefa Supercup winner,Luka Modrić
16/17,Real Madrid,Uefa Supercup winner,Luka Modrić
14/15,Real Madrid,Uefa Supercup winner,Luka Modrić
22/23,Real Madrid,Spanish cup winner,Luka Modrić
13/14,Real Madrid,Spanish cup winner,Luka Modrić
21/22,Real Madrid,Spanish Super Cup winner,Luka Modrić
19/20,Real Madrid,Spanish Super Cup winner,Luka Modrić
17/18,Real Madrid,Spanish Super Cup winner,Luka Modrić
12/13,Real Madrid,Spanish Super Cup winner,Luka Modrić
07/08,GNK Dinamo Zagreb,Croatian champion,Luka Modrić
07/08,GNK Dinamo Zagreb,Croatian cup winner,Luka Modrić
19/20,Juventus FC,Player of the Year,Paulo Dybala
22,Argentina,World Cup winner,Paulo Dybala
19/20,Juventus FC,Italian champion,Paulo Dybala
18/19,Juventus FC,Italian champion,Paulo Dybala
17/18,Juventus FC,Italian champion,Paulo Dybala
16/17,Juventus FC,Italian champion,Paulo Dybala
15/16,Juventus FC,Italian champion,Paulo Dybala
20/21,Juventus FC,Italian cup winner,Paulo Dybala
17/18,Juventus FC,Italian cup winner,Paulo Dybala
16/17,Juventus FC,Italian cup winner,Paulo Dybala
15/16,Juventus FC,Italian cup winner,Paulo Dybala
20/21,Juventus FC,Italian Super Cup winner,Paulo Dybala
18/19,Juventus FC,Italian Super Cup winner,Paulo Dybala
15/16,Juventus FC,Italian Super Cup winner,Paulo Dybala
13/14,US Palermo,Italienischer Zweitligameister,Paulo Dybala
21/22,Argentina,CONMEBOL-UEFA Cup of Champions winner,Paulo Dybala
10/11,Uruguay,Copa América winner,Diego Godín
13/14,Atlético de Madrid,Spanish champion,Diego Godín
18/19,Atlético de Madrid,Uefa Supercup winner,Diego Godín
12/13,Atlético de Madrid,Uefa Supercup winner,Diego Godín
10/11,Atlético de Madrid,Uefa Supercup winner,Diego Godín
17/18,Atlético de Madrid,Europa League winner,Diego Godín
11/12,Atlético de Madrid,Europa League winner,Diego Godín
12/13,Atlético de Madrid,Spanish cup winner,Diego Godín
14/15,Atlético de Madrid,Spanish Super Cup winner,Diego Godín
22,Clube Atlético Mineiro,Winner Supercopa do Brasil,Diego Godín
17/18,Juventus FC,Player of the Year,Gonzalo Higuaín
16/17,Juventus FC,Player of the Year,Gonzalo Higuaín
15/16,Serie A- 36 Goals,Top goal scorer,Gonzalo Higuaín
19/20,Juventus FC,Italian champion,Gonzalo Higuaín
17/18,Juventus FC,Italian champion,Gonzalo Higuaín
16/17,Juventus FC,Italian champion,Gonzalo Higuaín
11/12,Real Madrid,Spanish champion,Gonzalo Higuaín
07/08,Real Madrid,Spanish champion,Gonzalo Higuaín
18/19,Chelsea FC,Europa League winner,Gonzalo Higuaín
17/18,Juventus FC,Italian cup winner,Gonzalo Higuaín
16/17,Juventus FC,Italian cup winner,Gonzalo Higuaín
13/14,SSC Napoli,Italian cup winner,Gonzalo Higuaín
10/11,Real Madrid,Spanish cup winner,Gonzalo Higuaín
12/13,Real Madrid,Spanish Super Cup winner,Gonzalo Higuaín
08/09,Real Madrid,Spanish Super Cup winner,Gonzalo Higuaín
14/15,SSC Napoli,Italian Super Cup winner,Gonzalo Higuaín
20/21,Atlético de Madrid,Spanish champion,Koke
13/14,Atlético de Madrid,Spanish champion,Koke
17/18,Atlético de Madrid,Uefa Supercup winner,Koke
11/12,Atlético de Madrid,Uefa Supercup winner,Koke
17/18,Atlético de Madrid,Europa League winner,Koke
11/12,Atlético de Madrid,Europa League winner,Koke
12/13,Atlético de Madrid,Spanish cup winner,Koke
13/14,Atlético de Madrid,Spanish Super Cup winner,Koke
13,Spain U21,European Under-21 champion,Koke
22,France,Footballer of the Year,Kylian Mbappé
19,France,Footballer of the Year,Kylian Mbappé
18,France,Footballer of the Year,Kylian Mbappé
22/23,Ligue 1- 29 Goals,Top goal scorer,Kylian Mbappé
21/22,Ligue 1- 28 Goals,Top goal scorer,Kylian Mbappé
21/22,Coupe de France- 5 Goals,Top goal scorer,Kylian Mbappé
21/22,2022 World Cup- 8 Goals,Top goal scorer,Kylian Mbappé
20/21,Ligue 1- 27 Goals,Top goal scorer,Kylian Mbappé
20/21,Coupe de France- 7 Goals,Top goal scorer,Kylian Mbappé
20/21,UEFA Nations League Finals- 2 Goals,Top goal scorer,Kylian Mbappé
19/20,Ligue 1- 18 Goals,Top goal scorer,Kylian Mbappé
18/19,Ligue 1- 33 Goals,Top goal scorer,Kylian Mbappé
15/16,Coupe Gambardella- 3 Goals,Top goal scorer,Kylian Mbappé
22,France,TM-Player of the season,Kylian Mbappé
20,France,TM-Player of the season,Kylian Mbappé
19,France,TM-Player of the season,Kylian Mbappé
17,France,TM-Player of the season,Kylian Mbappé
22/23,Ligue 1,Player of the Year,Kylian Mbappé
18/19,Paris Saint-Germain,Player of the Year,Kylian Mbappé
18,France,World Cup winner,Kylian Mbappé
22/23,Paris Saint-Germain,French champion,Kylian Mbappé
21/22,Paris Saint-Germain,French champion,Kylian Mbappé
19/20,Paris Saint-Germain,French champion,Kylian Mbappé
18/19,Paris Saint-Germain,French champion,Kylian Mbappé
17/18,Paris Saint-Germain,French champion,Kylian Mbappé
16/17,AS Monaco,French champion,Kylian Mbappé
21,France,Winner UEFA Nations League,Kylian Mbappé
20/21,Paris Saint-Germain,French cup winner,Kylian Mbappé
19/20,Paris Saint-Germain,French cup winner,Kylian Mbappé
17/18,Paris Saint-Germain,French cup winner,Kylian Mbappé
19/20,Paris Saint-Germain,French league cup winner,Kylian Mbappé
17/18,Paris Saint-Germain,French league cup winner,Kylian Mbappé
16,France U19,European Under-19 champion,Kylian Mbappé
20/21,Paris Saint-Germain,French Super Cup winner,Kylian Mbappé
19/20,Paris Saint-Germain,French Super Cup winner,Kylian Mbappé
18/19,Paris Saint-Germain,French Super Cup winner,Kylian Mbappé
15/16,AS Monaco U19,French Youth Cup winner,Kylian Mbappé
17,England,Footballer of the Year,N'Golo Kanté
17,France,Footballer of the Year,N'Golo Kanté
17,England,TM-Player of the season,N'Golo Kanté
16/17,Chelsea FC,Player of the Year,N'Golo Kanté
18,France,World Cup winner,N'Golo Kanté
20/21,Chelsea FC,Champions League winner,N'Golo Kanté
22,Chelsea FC,FIFA Club World Cup winner,N'Golo Kanté
16/17,Chelsea FC,English Champion,N'Golo Kanté
15/16,Leicester City,English Champion,N'Golo Kanté
21/22,Chelsea FC,Uefa Supercup winner,N'Golo Kanté
18/19,Chelsea FC,Europa League winner,N'Golo Kanté
21,France,Winner UEFA Nations League,N'Golo Kanté
18,Chelsea FC,English FA Cup winner,N'Golo Kanté
20/21,Europa League Qualifying- 5 Goals,Top goal scorer,Harry Kane
20/21,Premier League- 23 Goals,Top goal scorer,Harry Kane
18/19,European Qualifiers- 12 Goals,Top goal scorer,Harry Kane
17/18,World Cup 2018- 6 Goals,Top goal scorer,Harry Kane
16/17,Premier League- 29 Goals,Top goal scorer,Harry Kane
15/16,Premier League- 25 Goals,Top goal scorer,Harry Kane
20/21,Tottenham Hotspur,Player of the Year,Harry Kane
17/18,England,Player of the Year,Harry Kane
16/17,England,Player of the Year,Harry Kane
14/15,Tottenham Hotspur,Player of the Year,Harry Kane
21,England,TM-Player of the season,Harry Kane
10,England U17,Torneio Internacional Algarve U17,Harry Kane
21/22,Real Madrid,Champions League winner,Isco
17/18,Real Madrid,Champions League winner,Isco
16/17,Real Madrid,Champions League winner,Isco
15/16,Real Madrid,Champions League winner,Isco
13/14,Real Madrid,Champions League winner,Isco
18,Real Madrid,FIFA Club World Cup winner,Isco
17,Real Madrid,FIFA Club World Cup winner,Isco
16,Real Madrid,FIFA Club World Cup winner,Isco
15,Real Madrid,FIFA Club World Cup winner,Isco
14,Real Madrid,FIFA Club World Cup winner,Isco
21/22,Real Madrid,Spanish champion,Isco
19/20,Real Madrid,Spanish champion,Isco
16/17,Real Madrid,Spanish champion,Isco
17/18,Real Madrid,Uefa Supercup winner,Isco
16/17,Real Madrid,Uefa Supercup winner,Isco
14/15,Real Madrid,Uefa Supercup winner,Isco
13/14,Real Madrid,Spanish cup winner,Isco
21/22,Real Madrid,Spanish Super Cup winner,Isco
19/20,Real Madrid,Spanish Super Cup winner,Isco
17/18,Real Madrid,Spanish Super Cup winner,Isco
13,Spain U21,European Under-21 champion,Isco
21/22,Real Madrid,Champions League winner,Marcelo
17/18,Real Madrid,Champions League winner,Marcelo
16/17,Real Madrid,Champions League winner,Marcelo
15/16,Real Madrid,Champions League winner,Marcelo
13/14,Real Madrid,Champions League winner,Marcelo
18,Real Madrid,FIFA Club World Cup winner,Marcelo
17,Real Madrid,FIFA Club World Cup winner,Marcelo
16,Real Madrid,FIFA Club World Cup winner,Marcelo
15,Real Madrid,FIFA Club World Cup winner,Marcelo
14,Real Madrid,FIFA Club World Cup winner,Marcelo
21/22,Real Madrid,Spanish champion,Marcelo
19/20,Real Madrid,Spanish champion,Marcelo
16/17,Real Madrid,Spanish champion,Marcelo
11/12,Real Madrid,Spanish champion,Marcelo
07/08,Real Madrid,Spanish champion,Marcelo
17/18,Real Madrid,Uefa Supercup winner,Marcelo
16/17,Real Madrid,Uefa Supercup winner,Marcelo
14/15,Real Madrid,Uefa Supercup winner,Marcelo
13/14,Real Madrid,Spanish cup winner,Marcelo
10/11,Real Madrid,Spanish cup winner,Marcelo
21/22,Real Madrid,Spanish Super Cup winner,Marcelo
19/20,Real Madrid,Spanish Super Cup winner,Marcelo
17/18,Real Madrid,Spanish Super Cup winner,Marcelo
12/13,Real Madrid,Spanish Super Cup winner,Marcelo
08/09,Real Madrid,Spanish Super Cup winner,Marcelo
22/23,Fluminense Football Club,Copa Libertadores winner,Marcelo
13,Brazil,Confederations Cup winner,Marcelo
16,Italy,Footballer of the Year,Leonardo Bonucci
21,Italy,European champion,Leonardo Bonucci
19/20,Juventus FC,Italian champion,Leonardo Bonucci
18/19,Juventus FC,Italian champion,Leonardo Bonucci
16/17,Juventus FC,Italian champion,Leonardo Bonucci
15/16,Juventus FC,Italian champion,Leonardo Bonucci
14/15,Juventus FC,Italian champion,Leonardo Bonucci
13/14,Juventus FC,Italian champion,Leonardo Bonucci
12/13,Juventus FC,Italian champion,Leonardo Bonucci
11/12,Juventus FC,Italian champion,Leonardo Bonucci
20/21,Juventus FC,Italian cup winner,Leonardo Bonucci
16/17,Juventus FC,Italian cup winner,Leonardo Bonucci
15/16,Juventus FC,Italian cup winner,Leonardo Bonucci
14/15,Juventus FC,Italian cup winner,Leonardo Bonucci
20/21,Juventus FC,Italian Super Cup winner,Leonardo Bonucci
18/19,Juventus FC,Italian Super Cup winner,Leonardo Bonucci
15/16,Juventus FC,Italian Super Cup winner,Leonardo Bonucci
13/14,Juventus FC,Italian Super Cup winner,Leonardo Bonucci
12/13,Juventus FC,Italian Super Cup winner,Leonardo Bonucci
22,Senegal,African Footballer of the Year,Sadio Mané
19,Senegal,African Footballer of the Year,Sadio Mané
18/19,Premier League- 22 Goals,Top goal scorer,Sadio Mané
22,Senegal,Africa Cup winner,Sadio Mané
18/19,Liverpool FC,Champions League winner,Sadio Mané
19,Liverpool FC,FIFA Club World Cup winner,Sadio Mané
22/23,Bayern Munich,German Champion,Sadio Mané
19/20,Liverpool FC,English Champion,Sadio Mané
19/20,Liverpool FC,Uefa Supercup winner,Sadio Mané
22,Liverpool FC,English FA Cup winner,Sadio Mané
22,Liverpool FC,English League Cup winner,Sadio Mané
22/23,Bayern Munich,German Super Cup winner,Sadio Mané
14/15,Red Bull Salzburg,Austrian champion,Sadio Mané
13/14,Red Bull Salzburg,Austrian champion,Sadio Mané
14/15,Red Bull Salzburg,Austrian cup winner,Sadio Mané
13/14,Red Bull Salzburg,Austrian cup winner,Sadio Mané
14,Germany,World Cup winner,Mats Hummels
18/19,Bayern Munich,German Champion,Mats Hummels
17/18,Bayern Munich,German Champion,Mats Hummels
16/17,Bayern Munich,German Champion,Mats Hummels
11/12,Borussia Dortmund,German Champion,Mats Hummels
10/11,Borussia Dortmund,German Champion,Mats Hummels
07/08,Bayern Munich,German Champion,Mats Hummels
20/21,Borussia Dortmund,German cup winner,Mats Hummels
18/19,Bayern Munich,German cup winner,Mats Hummels
11/12,Borussia Dortmund,German cup winner,Mats Hummels
19/20,Borussia Dortmund,German Super Cup winner,Mats Hummels
18/19,Bayern Munich,German Super Cup winner,Mats Hummels
17/18,Bayern Munich,German Super Cup winner,Mats Hummels
16/17,Bayern Munich,German Super Cup winner,Mats Hummels
14/15,Borussia Dortmund,German Super Cup winner,Mats Hummels
13/14,Borussia Dortmund,German Super Cup winner,Mats Hummels
09,Germany U21,European Under-21 champion,Mats Hummels
18/19,Brazil,Copa América winner,Philippe Coutinho
19/20,Bayern Munich,Champions League winner,Philippe Coutinho
19/20,Bayern Munich,German Champion,Philippe Coutinho
18/19,FC Barcelona,Spanish champion,Philippe Coutinho
17/18,FC Barcelona,Spanish champion,Philippe Coutinho
19/20,Bayern Munich,German cup winner,Philippe Coutinho
20/21,FC Barcelona,Spanish cup winner,Philippe Coutinho
17/18,FC Barcelona,Spanish cup winner,Philippe Coutinho
10/11,FC Internazionale,Italian cup winner,Philippe Coutinho
10/11,FC Internazionale,Italian Super Cup winner,Philippe Coutinho
18/19,FC Barcelona,Spanish Super Cup winner,Philippe Coutinho
11,Brazil U20,Under-20 World Cup champion,Philippe Coutinho
09,Brazil U17,Under-17 South American Championship winner,Philippe Coutinho
08/09,Clube de Regatas Vasco da Gama,Campeonato Brasileiro Série B Champioen,Philippe Coutinho
19/20,SSC Napoli,Italian cup winner,Dries Mertens
13/14,SSC Napoli,Italian cup winner,Dries Mertens
14/15,SSC Napoli,Italian Super Cup winner,Dries Mertens
11/12,PSV Eindhoven,Dutch Cup winner,Dries Mertens
22/23,Galatasaray,Turkish champion,Dries Mertens
13,PSV Eindhoven,Dutch Super Cup winner,Dries Mertens
18,Liverpool FC,African Footballer of the Year,Mohamed Salah
17,Liverpool FC,African Footballer of the Year,Mohamed Salah
22,England,Footballer of the Year,Mohamed Salah
18,England,Footballer of the Year,Mohamed Salah
18,,FIFA Puskás Award,Mohamed Salah
21/22,Premier League- 23 Goals,Top goal scorer,Mohamed Salah
18/19,Premier League- 22 Goals,Top goal scorer,Mohamed Salah
17/18,Premier League- 32 Goals,Top goal scorer,Mohamed Salah
16/17,World Cup qualification Africa- 5 Goals,Top goal scorer,Mohamed Salah
17/18,Liverpool FC,Player of the Year,Mohamed Salah
12/13,FC Basel 1893,Player of the Year,Mohamed Salah
18,England,TM-Player of the season,Mohamed Salah
18/19,Liverpool FC,Champions League winner,Mohamed Salah
19,Liverpool FC,FIFA Club World Cup winner,Mohamed Salah
19/20,Liverpool FC,English Champion,Mohamed Salah
19/20,Liverpool FC,Uefa Supercup winner,Mohamed Salah
22,Liverpool FC,English FA Cup winner,Mohamed Salah
22,Liverpool FC,English League Cup winner,Mohamed Salah
15,Chelsea FC,English League Cup winner,Mohamed Salah
23,Liverpool FC,English Super Cup winner,Mohamed Salah
13/14,FC Basel 1893,Swiss champion,Mohamed Salah
12/13,FC Basel 1893,Swiss champion,Mohamed Salah
18,France,World Cup winner,Raphaël Varane
17/18,Real Madrid,Champions League winner,Raphaël Varane
16/17,Real Madrid,Champions League winner,Raphaël Varane
15/16,Real Madrid,Champions League winner,Raphaël Varane
13/14,Real Madrid,Champions League winner,Raphaël Varane
18,Real Madrid,FIFA Club World Cup winner,Raphaël Varane
17,Real Madrid,FIFA Club World Cup winner,Raphaël Varane
16,Real Madrid,FIFA Club World Cup winner,Raphaël Varane
15,Real Madrid,FIFA Club World Cup winner,Raphaël Varane
14,Real Madrid,FIFA Club World Cup winner,Raphaël Varane
19/20,Real Madrid,Spanish champion,Raphaël Varane
16/17,Real Madrid,Spanish champion,Raphaël Varane
11/12,Real Madrid,Spanish champion,Raphaël Varane
17/18,Real Madrid,Uefa Supercup winner,Raphaël Varane
16/17,Real Madrid,Uefa Supercup winner,Raphaël Varane
14/15,Real Madrid,Uefa Supercup winner,Raphaël Varane
21,France,Winner UEFA Nations League,Raphaël Varane
13/14,Real Madrid,Spanish cup winner,Raphaël Varane
19/20,Real Madrid,Spanish Super Cup winner,Raphaël Varane
17/18,Real Madrid,Spanish Super Cup winner,Raphaël Varane
12/13,Real Madrid,Spanish Super Cup winner,Raphaël Varane
23,Manchester United,English League Cup winner,Raphaël Varane
18/19,Brazil,Copa América winner,Roberto Firmino
18/19,Liverpool FC,Champions League winner,Roberto Firmino
20,Liverpool FC,FIFA Club World Cup winner,Roberto Firmino
19/20,Liverpool FC,English Champion,Roberto Firmino
19/20,Liverpool FC,Uefa Supercup winner,Roberto Firmino
22,Liverpool FC,English FA Cup winner,Roberto Firmino
22,Liverpool FC,English League Cup winner,Roberto Firmino
23,Liverpool FC,English Super Cup winner,Roberto Firmino
18/19,Brazil,Copa América winner,Alisson
18/19,Liverpool FC,Champions League winner,Alisson
20,Liverpool FC,FIFA Club World Cup winner,Alisson
19/20,Liverpool FC,English Champion,Alisson
19/20,Liverpool FC,Uefa Supercup winner,Alisson
22,Liverpool FC,English FA Cup winner,Alisson
22,Liverpool FC,English League Cup winner,Alisson
13,Croatia,Footballer of the Year,Mario Mandžukić
